Shanghai,DOW,Y
414.09,1152.680054,5.77
399.32,1159.920044,5.77
393.52,1159.920044,5.79
407.61,1165.280029,5.79
398.95,1165.540039,5.79
401.44,1175.880005,5.79
410.39,1183.699951,5.79
440.04,1188.430054,5.79
571.63,1194.939941,5.79
562.01,1194.26001,5.79
637.67,1192.790039,5.79
724.6,1192.469971,5.8
716.74,1193.469971,5.8
722.2,1197.25,5.8
808.2,1201.76001,5.8
807.02,1197.25,5.8
793.25,1195.72998,5.8
753.94,1193.890015,5.8
676.45,1186.800049,5.8
625.23,1187.47998,5.8
722.28,1180.969971,5.77
705.07,1192.52002,5.75
682.24,1208.959961,5.75
685.82,1207.640015,5.75
707.82,1210.579956,5.75
698.13,1207.800049,5.75
731.68,1209.380005,5.74
725.78,1211,5.74
732.05,1205.959961,5.74
758.59,1211.160034,5.74
764.28,1204.550049,5.74
757.31,1207.849976,5.74
768.91,1207.959961,5.74
767.52,1210.369995,5.74
780.39,1204.339966,5.76
814.04,1201.869995,5.76
858.72,1205.650024,5.76
847.44,1203.859985,5.76
868.97,1201.660034,5.74
889.47,1210.640015,5.74
977.42,1214.72998,5.74
987.26,1219.140015,5.73
1024.05,1213.310059,5.73
1086.43,1207.329956,5.73
1063.76,1208.329956,5.73
1055.32,1206.48999,5.73
991.83,1213.310059,5.73
1043.31,1217.25,5.73
1074.26,1217.089966,5.73
1100.31,1221.400024,5.73
1162.44,1225.859985,5.73
1150.37,1234.469971,5.73
1198.48,1237.780029,5.72
1278.5,1252.209961,5.72
1310.58,1272.01001,5.72
1300.56,1278.150024,5.72
1371.58,1277.939941,5.71
1332.96,1264.920044,5.71
1393.17,1264.030029,5.71
1474.92,1269.699951,5.71
1454.46,1265.439941,5.72
1397.38,1231.689941,5.72
1458.76,1229.380005,5.73
1536.82,1223.290039,5.73
1513.48,1230.219971,5.74
1504,1240.189941,5.74
1508.22,1233.099976,5.74
1499.74,1246.069946,5.74
1456.29,1254.209961,5.74
1367.36,1252.109985,5.74
1264.96,1239.140015,5.74
1410.36,1253.050049,5.74
1339.88,1258.619995,5.74
1199.73,1259.040039,5.74
1245.11,1262.77002,5.74
1231.77,1283.869995,5.74
1159.13,1286.339966,5.74
1109,1285.969971,5.72
1209.65,1278.939941,5.72
1137.79,1266.390015,5.72
1188.97,1268.22998,5.72
1261.8,1268.959961,5.72
1236.37,1260.609985,5.72
1171,1274.26001,5.72
1222.55,1274.839966,5.75
1202.85,1273,5.76
1184.48,1277.72998,5.76
1174.99,1274.209961,5.76
1036.92,1280.25,5.78
971.25,1273.790039,5.78
956.97,1284.189941,5.78
945.42,1284.290039,5.78
1039.76,1279.25,5.78
970.4,1282.349976,5.78
958.05,1260.670044,5.78
925.91,1265.339966,5.78
947.23,1271.689941,5.78
944.01,1285.290039,5.78
947.87,1284.130005,5.78
1059.62,1300.930054,5.78
1099.62,1308.180054,5.78
1238,1310.699951,5.78
1243.02,1315.27002,5.78
1203.54,1322.349976,5.78
1297.36,1314.01001,5.78
1272.39,1301.930054,5.78
1278.84,1304.5,5.78
1214.75,1291.47998,5.78
1223.22,1285.390015,5.78
1235.52,1272.430054,5.78
1222.56,1281.300049,5.78
1267.35,1279.359985,5.78
1260.25,1280.300049,5.78
1345.61,1281.930054,5.78
1363.44,1289.959961,5.78
1372.5,1287.280029,5.78
1349.68,1283.800049,5.78
1358.78,1283.910034,5.78
1352.24,1279.76001,5.78
1241.16,1280.23999,5.78
1246.82,1284.48999,5.78
1162.92,1292.099976,5.78
1199.81,1280.030029,5.8
1128.29,1278.27002,5.8
1136.74,1274.97998,5.8
1140.05,1270.98999,5.8
1177.28,1291.890015,5.8
1167.47,1298.199951,5.8
1140.04,1287.75,5.8
1130.26,1291.459961,5.8
1147.22,1295.400024,5.8
1165.4,1304.339966,5.8
1143.97,1305.900024,5.8
1026.13,1296.800049,5.8
997.95,1309.410034,5.8
995.45,1311.23999,5.81
963.61,1302.619995,5.81
972.77,1301.380005,5.81
935.48,1300.079956,5.8
928.58,1288.719971,5.8
1081.2,1287.689941,5.8
1018.29,1277.939941,5.8
1004.3,1284.23999,5.8
1064.98,1280.369995,5.8
1074.58,1276.380005,5.8
1065.19,1277.23999,5.8
1044.44,1275.410034,5.8
1047,1267.810059,5.8
1000.43,1272.930054,5.8
1001.61,1269.23999,5.8
1004.24,1265.810059,5.8
998,1277.060059,5.8
1005.98,1276.410034,5.8
977.61,1291.72998,5.8
981.13,1288.030029,5.8
986.02,1292.589966,5.8
980.17,1292.969971,5.8
1006.64,1286.349976,5.8
1002.42,1273.26001,5.8
1028.44,1271.459961,5.8
1007.05,1285.699951,5.8
997.53,1284.069946,5.8
986.98,1280.969971,5.8
952.31,1280.75,5.8
897.64,1296.530029,5.8
903.79,1297.349976,5.8
896.16,1295.280029,5.8
868.57,1296.930054,5.8
845.52,1304.01001,5.8
870.05,1308.02002,5.8
836.39,1302.800049,5.8
838.7,1311.47998,5.8
846.87,1317.680054,5.8
836.98,1313.290039,5.8
808.2,1313.290039,5.8
811.7,1319.099976,5.8
815.53,1317.949951,5.8
813.54,1323.5,5.8
787.81,1323.109985,5.8
791.62,1321.189941,5.8
798.33,1316.140015,5.8
806.67,1320.089966,5.8
881.07,1327.060059,5.8
843.27,1328.709961,5.8
832.72,1329.040039,5.8
850.54,1324.97998,5.8
849.3,1325.800049,5.8
855.52,1327.670044,5.8
885.27,1335.23999,5.8
862.08,1338.430054,5.8
883.02,1343.290039,5.82
917.04,1339.079956,5.82
947.26,1336.449951,5.82
1023.87,1349.130005,5.82
974.11,1356.920044,5.82
947.93,1352.920044,5.82
968.51,1351.819946,5.82
946.54,1352.420044,5.82
893.23,1358.569946,5.82
894.44,1352.640015,5.82
911.4,1342.650024,5.82
903.91,1342.869995,5.82
894.59,1335.130005,5.82
899.27,1326.51001,5.82
895.68,1328.48999,5.82
893.99,1338.540039,5.82
901.39,1347.319946,5.82
922.7,1336.890015,5.82
947.53,1342.869995,5.82
909.04,1342.380005,5.82
909.13,1337.660034,5.82
901.66,1328,5.82
903.56,1314.439941,5.82
879.24,1320.75,5.82
876.62,1320.589966,5.82
880.78,1323.170044,5.82
875.08,1332.390015,5.82
881.41,1334.530029,5.82
875,1329.040039,5.81
890.23,1324.540039,5.81
881.24,1332.060059,5.81
884.02,1329.969971,8.72
875.81,1329.859985,8.72
880.98,1331.560059,8.72
898.15,1328,8.72
886.12,1327.449951,8.71
890.27,1331.400024,8.72
892.55,1327.609985,8.72
885.86,1330.630005,8.72
885.04,1334.420044,8.72
887.62,1339.359985,8.72
874.76,1343.859985,8.72
868.38,1344.300049,8.72
871.42,1347.099976,8.72
859.7,1343.859985,8.73
855.04,1344.630005,8.72
856.92,1351.219971,8.73
835.25,1355.98999,8.72
839.6,1355.060059,8.72
843.85,1368.22998,8.72
832.25,1367.079956,8.72
818.81,1373.660034,8.72
784.97,1370.920044,8.72
783.23,1355.060059,8.73
778.33,1338.699951,8.72
824.66,1346.109985,8.72
814.74,1349.290039,8.73
816.71,1345.619995,8.73
812.67,1354.839966,8.73
805.71,1351.540039,8.73
804.26,1361.099976,8.73
814.39,1357.910034,8.73
836.99,1369.48999,8.72
846.15,1359.890015,8.73
833.17,1356.540039,8.72
848.27,1355.5,8.72
865.97,1346.98999,8.72
890.46,1344.73999,8.72
880.33,1352.310059,8.72
887.65,1359.560059,8.73
903.07,1362.25,8.72
924.67,1362.630005,8.73
949.77,1365.050049,8.73
957.95,1369.050049,8.73
953.23,1367.130005,8.73
986.69,1367.959961,8.73
965.39,1371.689941,8.73
972.96,1375.859985,8.72
984.93,1373.449951,8.73
974.8,1374.97998,8.72
972.8,1382.170044,8.72
980.67,1375.369995,8.72
995.72,1370.310059,8.72
1022.34,1369.819946,8.72
1009.67,1377.069946,8.72
984.9,1376.579956,8.72
978.57,1375.369995,8.72
950.77,1383.829956,8.73
925.2,1381.469971,8.72
940.61,1391.689941,8.72
908.08,1394.050049,8.72
901.7,1392.72998,8.72
783.79,1386.959961,8.73
840.34,1381.030029,8.73
821.19,1376.910034,8.73
833.77,1382.640015,8.73
834.39,1389.650024,8.73
839.9,1394.280029,8.73
839.57,1398.310059,8.73
821.16,1413.369995,8.73
826.23,1406.800049,8.73
833.8,1409.180054,8.74
833.9,1407.189941,8.72
832.69,1415.23999,8.71
846.98,1411.709961,8.71
869.33,1412.040039,8.71
879.64,1415.459961,8.71
900.3,1413.920044,8.74
891.79,1417.890015,8.71
888.04,1416.51001,8.73
897.46,1411.160034,8.73
849.23,1417.839966,8.72
859.28,1426.829956,8.71
835.06,1433.890015,8.7
807.5,1447.060059,8.69
802.61,1441.48999,8.69
812.88,1446.609985,8.69
839.2,1441.819946,8.69
815.89,1412.76001,8.68
812.41,1419.829956,8.68
818.6,1418.48999,8.71
799.26,1425.790039,8.68
770.25,1410.699951,8.68
755.15,1408.75,8.68
772.2,1410.25,8.68
780.17,1413.869995,8.68
797.88,1413.199951,8.68
779.91,1409.030029,8.68
772.76,1398.280029,8.68
776.1,1407.969971,8.68
768.59,1401.680054,8.68
769.18,1379.680054,8.68
754.41,1380.130005,8.68
768.21,1380.569946,8.68
759.73,1371.719971,8.68
758.84,1373.839966,8.71
787.45,1370.719971,8.68
770.98,1375.72998,8.71
757.3,1382.630005,8.71
742.06,1382.800049,8.71
734.45,1379.959961,8.71
726.3,1368.880005,8.68
718.4,1375.670044,8.68
711.27,1376.01001,8.68
716.11,1374.180054,8.68
698.8,1378.800049,8.68
717.36,1381.060059,8.68
788.43,1382.069946,8.68
772.76,1371.130005,8.68
776.94,1372.369995,8.68
765.55,1375.189941,8.67
731.62,1358.780029,8.67
725.21,1350.329956,8.67
724.28,1349.699951,8.67
719.06,1324.609985,8.67
702.23,1298.280029,8.7
706.91,1297.77002,8.67
706.34,1279.390015,8.67
704.46,1310.01001,8.67
698.84,1310.22998,8.67
694.38,1314.180054,8.67
682.7,1304.430054,8.67
679.74,1304.660034,8.66
677.31,1300.119995,8.66
678.86,1296.280029,8.66
659.05,1294.319946,8.66
665.61,1294.550049,8.66
656.78,1280.030029,8.66
636.08,1273.780029,8.66
