Shanghai,P Change,Dow,P Change,Y,
376.92,0.002069405,1164.390015,-0.005787451,5.48,0
376.38,-0.00143472,1163.790039,0.000515271,5.48,0
377.05,0.001776953,1171.680054,-0.006779586,5.51,0.005444646
377.49,0.001165594,1169.380005,0.001963035,5.51,0
377.66,0.00045014,1175.930054,-0.005601301,5.53,0.003616637
377.31,-0.000927619,1182.949951,-0.005969655,5.53,0
377.99,0.001798989,1177.459961,0.004640932,5.53,0
378.89,0.00237536,1170.209961,0.006157322,5.53,0
378.69,-0.000528136,1166.839966,0.002879821,5.53,0
378.12,-0.001507458,1169.23999,-0.002056858,5.53,0
379.13,0.002663994,1158.199951,0.009442064,5.53,0
380.77,0.004307062,1157.650024,0.000474812,5.53,0
381.44,0.001756502,1161.800049,-0.00358487,5.53,0
381.24,-0.000524604,1163.189941,-0.001196326,5.53,0
381.01,-0.000603659,1155.800049,0.006353126,5.52,-0.001811594
381.12,0.000288623,1154.650024,0.000995003,5.52,0
381.33,0.000550704,1160.969971,-0.005473474,5.52,0
381.47,0.000367001,1137.140015,0.020525902,5.52,0
381.93,0.001204409,1126.709961,0.009172181,5.54,0.003610108
382.43,0.001307429,1146.609985,-0.017662064,5.53,-0.001808318
381.65,-0.002043757,1155.800049,-0.008014987,5.53,0
382.03,0.000994686,1156.170044,-0.00032012,5.53,0
391.11,0.023215975,1171.550049,-0.013302546,5.53,0
400.61,0.023713836,1190.800049,-0.016431223,5.51,-0.003629764
406.72,0.01502262,1195.420044,-0.00387974,5.51,0
410.55,0.009328949,1181.839966,0.011360089,5.51,0
414.42,0.009338352,1178.75,0.002614538,5.51,0
413.85,-0.001377311,1174.819946,0.003334086,5.51,0
410.06,-0.00924255,1185.209961,-0.008843921,5.51,0
399.88,-0.025457637,1175.890015,0.00786354,5.51,0
407.25,0.018096992,1168.540039,0.006250564,5.51,0
414.4,0.017253861,1170.810059,-0.001942612,5.51,0
424.58,0.023976636,1180.089966,-0.007926057,5.5,-0.001818182
436.09,0.026393634,1188.589966,-0.007202841,5.5,0
444.16,0.018169128,1180.369995,0.006915733,5.5,0
445.38,0.002739234,1195.369995,-0.01270788,5.5,0
453.62,0.018164984,1196.02002,-0.000543786,5.49,-0.001821494
449.21,-0.009817235,1201.790039,-0.00482435,5.49,0
449.96,0.001666815,1196.76001,0.004185447,5.5,0.001818182
454.65,0.010315627,1199.579956,-0.002356317,5.5,0
468.11,0.028753925,1205.949951,-0.005310188,5.49,-0.001821494
491.5,0.047589013,1204.380005,0.001301833,5.49,0
506.53,0.029672477,1205.599976,-0.001012945,5.49,0
514.04,0.014609758,1192.680054,0.010716591,5.49,0
523.36,0.01780801,1188.380005,0.003605367,5.49,0
544.35,0.03855975,1192.890015,-0.003795091,5.49,0
571.82,0.048039593,1198.569946,-0.004761488,5.49,0
598.11,0.043955125,1197.410034,0.000967747,5.49,0
616.99,0.030600172,1193.089966,0.003607843,5.49,0
1266.49,0.512834685,1196.390015,-0.002765968,5.49,0
1339.99,0.054851156,1187.699951,0.007263571,5.49,0
1421.57,0.057387255,1188.810059,-0.00093467,5.49,0
1301.35,-0.092380989,1192.369995,-0.002994537,5.48,-0.001824818
1193.17,-0.090666041,1197.089966,-0.003958479,5.48,0
1160.17,-0.028444107,1201.109985,-0.003358159,5.48,0
1234.71,0.060370451,1195.630005,0.00456243,5.48,0
1183.24,-0.043499206,1198.699951,-0.002567639,5.48,0
1141.02,-0.037001981,1197.73999,0.000800835,5.48,0
1059.07,-0.07737921,1200.550049,-0.002346134,5.48,0
1104.46,0.041097007,1203.27002,-0.002265604,5.48,0
1105.76,0.001175662,1189.01001,0.011851047,5.48,0
